id,customer_id,account_number,balance
1,202107240000,90060824,2500
2,202107240001,90060828,9529
3,202107240002,90060832,7238
4,202107240003,90060836,9882
5,202107240004,90060840,4472
6,202107240005,90060844,4978
7,202107240006,90060848,6270
8,202107240007,90060852,5871
9,202107240008,90060856,2205
10,202107240009,90060860,5315
11,202107240010,90060864,2555
12,202107240011,90060868,6466
13,202107240012,90060872,4608
14,202107240013,90060876,5659
15,202107240014,90060880,2020
16,202107240015,90060884,6190
17,202107240016,90060888,6997
18,202107240017,90060892,2708
19,202107240018,90060896,7667
20,202107240019,90060900,5901
21,202107240020,90060904,1038
22,202107240021,90060908,8191
23,202107240022,90060912,4913
24,202107240023,90060916,856
25,202107240024,90060920,6686
26,202107240025,90060924,8837
27,202107240026,90060928,7311
28,202107240027,90060932,7171
29,202107240028,90060936,3026
30,202107240029,90060940,2211
31,202107240030,90060944,270
32,202107240031,90060948,438
33,202107240032,90060952,8168
34,202107240033,90060956,5730
35,202107240034,90060960,395
36,202107240035,90060964,1138
37,202107240036,90060968,1331
38,202107240037,90060972,9202
39,202107240038,90060976,1939
40,202107240039,90060980,9884
41,202107240040,90060984,8837
42,202107240041,90060988,8588
43,202107240042,90060992,564
44,202107240043,90060996,2343
45,202107240044,90061000,7267
46,202107240045,90061004,7164
47,202107240046,90061008,912
48,202107240047,90061012,310
49,202107240048,90061016,6322
50,202107240049,90061020,7910
51,202107240050,90061024,2177
52,202107240051,90061028,3828
53,202107240052,90061032,4527
54,202107240053,90061036,7964
55,202107240054,90061040,7103
56,202107240055,90061044,7098
57,202107240056,90061048,6049
58,202107240057,90061052,5123
59,202107240058,90061056,4691
60,202107240059,90061060,2422
61,202107240060,90061064,6592
62,202107240061,90061068,5477
63,202107240062,90061072,7538
64,202107240063,90061076,2495
65,202107240064,90061080,6492
66,202107240065,90061084,889
67,202107240066,90061088,829
68,202107240067,90061092,6505
69,202107240068,90061096,2118
70,202107240069,90061100,7981
71,202107240070,90061104,2979
72,202107240071,90061108,8558
73,202107240072,90061112,3084
74,202107240073,90061116,2078
75,202107240074,90061120,7976
76,202107240075,90061124,3628
77,202107240076,90061128,5517
78,202107240077,90061132,500
79,202107240078,90061136,6945
80,202107240079,90061140,6583
81,202107240080,90061144,7635
82,202107240081,90061148,6104
83,202107240082,90061152,8631
84,202107240083,90061156,9319
85,202107240084,90061160,9427
86,202107240085,90061164,6088
87,202107240086,90061168,9898
88,202107240087,90061172,3399
89,202107240088,90061176,5542
90,202107240089,90061180,7162
91,202107240090,90061184,9751
92,202107240091,90061188,551
93,202107240092,90061192,3788
94,202107240093,90061196,3849
95,202107240094,90061200,45
96,202107240095,90061204,610
97,202107240096,90061208,7315
98,202107240097,90061212,6947
99,202107240098,90061216,9814
100,202107240099,90061220,6219
