name_1,company_name_1,address_1,county_1,postal_1,email_1,web_1,phone_1,age_1
Sdse Public Tv,30 Seville St,East Sussex,BN20 7QU,king_vanacore@yahoo.com,,"01908-714833,01651-442812",43
Isidra Varnado,Howland Machine Corp,79 Chelmsford St,Flintshire,CH8 7UP,ivarnado@varnado.co.uk,,01600-982590,51
Tonja Driesenga,First Ozaukee Savings Bank,8 South John St,Northamptonshire,NN6 9XW,tdriesenga@driesenga.co.uk,http://www.firstozaukeesavingsbank.co.uk,01683-204727,26
,General Truck Part & Equipment,50 Townsend St,Greater Manchester,OL9 0NS,shaquana@hotmail.com,http://www.generaltruckpartequipment.co.uk,01641-726098,31
,"Finlay, Joseph B Jr",7643 Campbell St,Greater London,BR3 1LT,gfeagins@gmail.com,,01304-758732,57
Rex Faehnle,"Hering, Glenn Z Esq",371 Oakleigh,Wiltshire,BA12 8NR,rfaehnle@faehnle.co.uk,,01955-496773,59
Adolph Cunningham,"Moorhead, Bridget Klein Esq",9874 Oakfield Rd,Tyne and Wear,SR5 5PT,adolph_cunningham@hotmail.com,http://www.moorheadbridgetkleinesq.co.uk,01731-429712,43
Queen Leader,Ottumwa Glass Co,6 Princes St,South Lanarkshire,G75 8YR,queen_leader@gmail.com,http://www.ottumwaglassco.co.uk,01567-846944,37
Rebbecca Rufenacht,Ithaca Guitar Works Inc,4190 Seacombe St,Northamptonshire,NN12 8AA,rrufenacht@yahoo.com,,"01583-168158,01926-842843",33
Ardella Goldrup,Bedford Books St Martins Prs,3145 Rhyl St,E Riding of Yorkshire,YO43 3QE,ardella.goldrup@goldrup.co.uk,,01813-786468,44
Dallas Miyashiro,Em Building Products Inc,4919 Lime Grove,Cheshire,SY13 4HB,dallas_miyashiro@miyashiro.co.uk,,"01356-551432,01752-585779",43
Vivan Jenious,Mnpls Arprt Marriott,8 Carolina St,West Sussex,RH10 8EZ,vjenious@yahoo.com,,01907-573672,31
Han Dzledzic,Captain Copy,1592 Price St,Northumberland,NE20 9TF,han_dzledzic@hotmail.com,,01532-163009,20
Emilio Guitierrez,Register Printing Co,2 Weller St,North Yorkshire,DL6 2AS,emilio_guitierrez@guitierrez.co.uk,,"01845-679016,01363-466980",26
Latia Cos,Capitol Cadillac Company,18 Thomas St,West Sussex,PO22 0JT,lcos@yahoo.com,,01695-303367,58
Lilli Cureau,A 1 Plumbers Supply,42 Hey Green Rd,Lancashire,PR1 6TL,lilli@yahoo.com,,"01752-399931,01363-139614",36
,"Levering, Charles B Esq",256 Vesuvius St #159,North Yorkshire,LS24 9UA,maryanne@hotmail.com,,01455-447890,39
Eliz Strimple,Karl May General Contractor,82 Denison St #2642,Greater Manchester,M25 1JB,eliz@gmail.com,http://www.karlmaygeneralcontractor.co.uk,01699-467608,38
Laura Gumaer,C Leasing Company,1779 Bird St,Greater London,SW14 8JZ,laura_gumaer@gmail.com,,01821-208235,51
Leanora Respicio,Fire Protection Consultants,99 College St South #1,Tyne and Wear,NE6 2RX,lrespicio@respicio.co.uk,,01564-503370,22
,Kxlt Radio (k 108 Fm),29 Greenleaf St,Isle of Anglesey,LL62 5HD,spomarico@hotmail.com,,"01523-372834,01323-831572",23
Charlie Isita,"Sotorrio, Rene A Esq",39 Hooton Place,East Renfrewshire,G78 3AB,charlie@isita.co.uk,http://www.sotorrioreneaesq.co.uk,01295-844061,31
Veronique Nuckolls,Cinemax Cable Pay Tv Svce,198 Ranelagh Place,Aberdeenshire,AB43 6RD,vnuckolls@gmail.com,http://www.cinemaxcablepaytvsvce.co.uk,"01632-762032,01699-696279",39
Antonio Villamarin,Combs Sheetmetal,353 Standish St #8264,Hertfordshire,CM20 2HT,antonio.villamarin@gmail.com,,"01559-403415,01388-777812",46
Louvenia Kincannon,"Fineshriber, Marilyn Esq",87 Eldon Place,Lancashire,BB12 7RY,lkincannon@kincannon.co.uk,http://www.fineshribermarilynesq.co.uk,01315-409372,39
Roxanne Hedegore,"Wallace, Bruce R Esq",592 Catharine St,South Lanarkshire,G72 0RZ,roxanne_hedegore@gmail.com,,01317-299836,37
Eve Hoffstot,Domestic Intrntl Techlgy Ltd,1661 Arrow St,York,YO26 8DA,eve.hoffstot@yahoo.com,,01746-129962,57
Kenda Koza,General Bindery Co Inc,7 Netley St,Greater London,E16 3DP,kkoza@koza.co.uk,http://www.generalbinderycoinc.co.uk,01840-188852,26
,"Lee, Stan Dvm",7 St Edmonds Rd,Kent,CT15 4HH,elden_mercik@mercik.co.uk,http://www.leestandvm.co.uk,01539-784239,42
,"Chomsky, Charles Esq",6996 Wrenbury St,West Midlands,CV6 5RS,kami@yahoo.com,,01775-876516,41
Selene Zeng,Dustbooks,2 Prince Rupert St,Greater London,BR3 6SX,selene@yahoo.com,,01741-833047,38
,Ric Lo Productions Ltd,9970 Clyde Rd,Surrey,KT15 3NW,deangelo_rardon@yahoo.com,,01748-535438,52
,"Shohet, Grace C Esq",9 Fielding St,Staffordshire,WV5 0BB,olen@gmail.com,,01654-865551,30
,Lbt,555 Ludlow St,Wiltshire,BA14 9JB,lanie@yahoo.com,http://www.lbt.co.uk,01973-841918,58
